Product Link,Product Name,Price
https://www.flipkart.com/google-pixel-9-pro-porcelain-256-gb/p/itm9a1354100232c?pid=MOBH2HJGMACVFGRH&lid=LSTMOBH2HJGMACVFGRH538IOO&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGMACVFGRH.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Porcelain, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBGT5F26QJYZUZS.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 7a (Coral, 128 GB)","₹29,999"
https://www.flipkart.com/google-pixel-9-pro-xl-porcelain-256-gb/p/itm23d7e159c924d?pid=MOBH2HJGE33F8KHN&lid=LSTMOBH2HJGE33F8KHNQBQOW2&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGE33F8KHN.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro XL (Porcelain, 256 GB)","₹1,24,999"
https://www.flipkart.com/google-pixel-9-peony-256-gb/p/itmdfee129571238?pid=MOBH2HJGNG6PVUYH&lid=LSTMOBH2HJGNG6PVUYHXGA7EB&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGNG6PVUYH.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Peony, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-9-pro-rose-quartz-256-gb/p/itme7353de08a821?pid=MOBH2HJGZKZE8JVW&lid=LSTMOBH2HJGZKZE8JVWWR4LJW&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGZKZE8JVW.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Rose Quartz, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-9-wintergreen-256-gb/p/itmcead5185c21a8?pid=MOBH2HJG6KBBMPRF&lid=LSTMOBH2HJG6KBBMPRFC8AYRM&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJG6KBBMPRF.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 (Wintergreen, 256 GB)","₹79,999"
https://www.flipkart.com/google-pixel-9-pro-hazel-256-gb/p/itm794fb1e1c325c?pid=MOBH2HJGYPMF9EH3&lid=LSTMOBH2HJGYPMF9EH3SIVNWD&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGYPMF9EH3.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Hazel, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-9-pro-obsidian-256-gb/p/itm20409981866f4?pid=MOBH2HJGHBFE2GZR&lid=LSTMOBH2HJGHBFE2GZRHGV4QM&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGHBFE2GZR.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro (Obsidian, 256 GB)","₹1,09,999"
https://www.flipkart.com/google-pixel-9-pro-xl-obsidian-256-gb/p/itm5583d8ff28427?pid=MOBH2HJG8JEYKFZK&lid=LSTMOBH2HJG8JEYKFZKAPRGUS&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJG8JEYKFZK.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro XL (Obsidian, 256 GB)","₹1,24,999"
https://www.flipkart.com/google-pixel-9-pro-xl-hazel-256-gb/p/itm68e9d85f9d9b2?pid=MOBH2HJGH9PKHRNF&lid=LSTMOBH2HJGH9PKHRNFUHLTE4&marketplace=FLIPKART&q=mobile+phones+&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=d9bff35f-7fe3-459f-a2b0-547b082202f7.MOBH2HJGH9PKHRNF.SEARCH&ppt=sp&ppn=sp&ssid=h12nagh1pc0000001730653626818&qH=f696c2fbb0b173a0,"Google Pixel 9 Pro XL (Hazel, 256 GB)","₹1,24,999"
